'n	a, an.
sketter	blare; bray; rant; brag.
skeur	n. tear, rent (in cloth); crack, fissure; split (in party).; tear (up), rend, rip; split.
skeurbuik	scurvy.
skewebek	- trek, pull faces (a wry face).
skielik	a. sudden, quick.; skierlik, adv. suddenly.
skiereiland	peninsula.
skierlik	vide skielik.
skiet	n., - gee, veer, slack.; shoot, fire (a shot); blast (with dynamite); dart, rush.
skietlood	plumb, plummet.
skif	separate, sort out, sift; (milk) (begin to) run, curdle; (material) become threadbare.
skig	arrow, bolt, dart; flash, ray.
skigtig	skittish, (inclined to be) shy.
skik	n. pleasure, enjoyment.; arrange, manage, order; settle, make up; be convenient, suit.
skiklik	obliging, accommodating.
skil	n. peel, rind, skin, scale.; peel, pare, skin.
skilder	n. painter.; paint; depict, delineate, picture.; depict
skilderagtig	picturesque.
skildery	picture, painting.
skildwag	sentinel, sentry.
skilfer	dandruff (on the head); scale, flake, tuft.; scale, flake, give off scales.
skilpad	tortoise (on land), turtle (in water); slowcoach.
skim	shadow, spectre, ghost.
skimmel	mildew, mould; fungus; blight; grey (horse), roan (horse).; a. mouldy, mildewy, musty, stale; bashful; roan, grey.; grow mouldy (mildewy).
skimp	n. gibe, jeer; allusion, innuendo.; scoff, jeer; allude, make covert references.
skimpdig	satire.
skinder	slander; backbite.
skinderbek	gossip, slanderer.
skink	pour; serve.
skinkbord	tray, salver.
skip	ship, boat.
skipbreuk	shipwreck.
skipper	n. (sea-)captain, master.
skisofrenie	schizophrenia
skitter	sparkle, glitter, shine.
skitterend	sparking, brilliant, glorious.
skob	scale; vide skub.
skobbejak	scoundrel, rogue, bounder, scamp, rascal.
skoei	shoe.
skoeisel	footwear.
skoen	boot, shoe.
skoenlapper	cobbler, butterfly.
skoenmaker	bootmaker, shoemaker.
skof	lap, stage, trek; shift; hump, withers (horse), shoulders (ox).
skoffel	hoe, weeding-hook.; hoe, weed; dance.
skoffelpik	hoe.
skoffelploeg	cultivator.
skok	shock, impact, concussion; jolt, jerk, jar.; (give a) shock, shake, jolt.
skolier	scholar, pupil.
skollie	" hooligan, ""skollie""."
skommel	swing.; swing, rock, oscillate, roll, wobble; (prices) fluctuate.
skooier	" beggar, ""loafer"", tramp."
skool	school; shoal (of fish).
skoolhou	teach, give lessons.
skoon	n. the beautiful.; a, clean, pure; fine, beautiful, handsome.; adv., clean, quite, completely, absolutely.
skoondogter	daughter-in-law.
skoonmaak	clean, cleanse, clean out, clean up, weed (a garden-bed).
skoonmoeder	mother-in-law.
skoonskip	- maak, make a clean sweep.
skoonsuster	sister-in-law.
skoonvader	father-in-law.
skoonveld	n. (golf) fairway.; adv. clean gone.
skoor	n., - soek, ask (look) for trouble.; joke, tease; quarrel.
skoorsteen	chimney; funnel (of ship).
skoorvoetend	reluctantly.
skoot	shot; report, crack; time, turn.; lap, bosom; fold.
skop	n. shovel; scoop; spade.; n. kick.; kick; recoil.
skopgraaf	shovel, skoppe(ns), (pl.) spades (cards).
skoppel-	swing; - ry, swing.
skor	hoarse, husky, rough.
skorriemorrie	riff-raff, rabble.
skors	n. bark, rind.; suspend; adjourn.
skort	be wrong, be wanting.
Skot	Scot, Scotchman.
skotig	gradually sloping.
skotskar	scotch-cart.
skottel	dish, basin.
skottelgoed	dishes and plates.
skottelploeg	disc-plough.
skouburg	theatre.
skouer	shoulder.
skouspel	spectacle, sight, scene.
skout	sherif, bailiff.
skout-by-nag	rear-admiral.
skraag	support, prop (up).
skraal	thin, lean (of a person); poor (soil); bleak, cutting (wind); scanty, meagre returns, hopes).
skraap	n. scratch.; scrape; pursue, chase.
skraapsug	stinginess, niggardliness.
skram	n. scratch, mark.; scratch, graze.
skrams	grazingly.
skrander	smart, clever, bright, sharp, ingenious, shrewd.
skrap	scratch, strike out, cross out, cancel.
skraps	a. & adv. scarce(ly); barely.
skrede	step, stride.
skree	n. shout, cry, scream; shriek.; shout, cry, scream; shriek; bawl.
skreeubalie	cry-baby.
skreeulelik	a. frightfully ugly.
skrefie	chink, slit.
skrei	cry, weep.
skreiend	crying, flagrant, shameful.
skriba	scriba, scribe.
skrif	writing, handwriting; exercise book.
skrifgeleerd	educated; cunning.
skriftelik	in writing, written.
skriftuur	scripture, document.
skrik	n. fright, terror, alarm.; start, be frightened (startled), get a fright.
skrikaanjaend	alarming, terrifying.
skrikbarend	alarming, terrifying.
skrikkeljaar	leap-year.
skrikkerig	jumpy, nervous, frightened, afraid; shy, skittish.
skrikmaak	startle, alarm, frighten, skrikwekkend, (-e), alarming, appalling.
skril	shrill; glaring (colours).
skrobbeer	rebuke, reprove, reprimand.
skroef	n. screw; propeller (of boat, aeroplane); (jaw-)vice.; screw.
skroefhamer	wrench, spanner.
skroefturbinemotor	prop-jet.
skroei	singe (hair); scorch (grass); cauterise (a wound).
skroewe	vide skroef, (ge-).
skroewedraaier	screw-driver.
skromelik	vide skroomlik.
skrompel	shrivel, wither.
skroom	n. diffidence, timidity, modesty.; hesitate, dread, be afraid.
skroomlik	shameful(ly), disgraceful(ly), bad(ly).
skroomvallig	timorous, bashful.
skrop	(dam-)scraper.; scrub, scour; scratch; scrape.
skrum	scrum, scrummage.; scrum.
skrumskakel	scrum-half.
skryf	write; correspond.
skryfblok	writing-pad (-block).
skryn	smart, cause pain.
skrynend	smarting, painful.
skrynwerker	cabinet-maker, joiner; carpenter.
skrywe	n. letter.; vide skryf, (ge-).
sku	shy, bashful; reserved, unsociable; skittish (of horse, etc.).
skub	scale, scutum.
skud	shake; tremble; jolt; shuffle (cards).
skugter	timied, shy, coy.
skuif	bolt (of a door), sliding-bolt; slide; slide-valve; puff (of smoke).; push; shove; move.
skuifdeur	sliding door.
skuifel	shuCe.
skuifie	slide; draw (at cigar, cigarette).
skuifmeule	(game of) noughts and crosses (lit.); excuse, pretext (fig.).
skuil	shelter, take cover (shelter); hide.
skuilgaan	hide, skuilhoek, hiding-place, cover.
skuilhou	hide, keep hidden.
skuilnaam	pen-name, pseudonym.
skuim	n. foam (on liquids, horses, round the mouth), froth; lather (of soap); dross (of molten metal); scrum; dregs, refuse.; foam, froth; lather; skim; sparkle, bead; fume (with rage).
skuimbek	foam at the mouth.
skuins	a. slanting, sloping, oblique; bevel(led).; adv. slantingly, obliquely, aslant, awry; askance.; skew; oblique
skuinste	slope.
skuit	boat.
skuiwe	vide skuif.
skuiwergat	scaffolding-hole, putlog-hole; scupper-hole.
skuld	n. debt; fault, guilt.; owe.
skuldbewys	acknowledgment of debt, IOU.
skuldeiser	creditor.
skuldenaar	debtor.
skuldig	guilty; culpable.
skulp	shell.
skurf	mangy, scabby (in animals), chapped, rough (in human beings); scaly.
skurk	blackguard, villain, scoundrel, rogue.
skut	n. shot, marksman.; n. protection; screen; fence; pound (for stray animals).; protect; pound, impound.
skutkraal	pound.
skutsengel	guardian-angel.
skutter	shot, marksman.
skutting	protection; fence, hoarding, impounding.
skuur	n. barn, shed.; rub; scrub; scour (pots); graze, chafe.
skuurpapier	sand paper, abrasive paper.
skyf	target; slice (of watermelon), quarter (of orange); disc.
skyn	n. appearance, semblance; show, pretence; glimmer, glow.; shine; seem, look, appear.
skynbaar	a, apparent, seeming.
skyngeveg	sham fight, mock fight.
skynheilig	hypocritical.
skynsel	glow, light, glimmer.
Slaaf	Slav, Slavonian.; n. slave.; slave, toil, drudge.
slaafs	slavish, servile.
slaag	succeed; pass.
slaags	- raak, come to blows; join battle.
slaai	lettuce; salad.
slaak	breathe, heave, utter.
slaan	strike, beat, hit; thrash, flog; slap, flap.
slaanbeurt	innings.
slaanding	something to hit with, cane.
slaap	sleep; (pl. slape), temple.; sleep, be asleep.
slaapdrank	sleeping-draught, soporific.
slaapkous	drowsy-head, sleepy-head.
slae	(pl.) cuts, lashes, blows.; vide sla(e).
slag	blow (of hand, sword); stroke (of clock, rower, swimmer); beat (of heart, pulse); lash (of whip); clap (of thunder); thump, thud, crash (of falling object); slap, smack (in the face); knack, trick, sleight of hand; turn, time; kink, turn, twist (in a rop; slaughter, kill; skin.
slagboom	barrier, bar.
slaggat	pot-hole.
slaghuis	butcher's shop, butchery.
slagoffer	victim.
slagpale	abattoir, slaughterhouse.
slagskip	battle-ship.
slagtand	tusk; fang, canine (tooth).
slagter	butcher.
slagting	slaughter, butchery.
slagvaardig	ready for the fray (for battle), game.
slagyster	(spring-)trap.
slak	snail, slug; (pl. also) slag, clinker (of metal).
slampamper	revel, make merry.
slang	snake; (hose-)pipe.
slank	tall (and slim), willowy, of fine figure; slim, slender.
slap	a. & adv. slack; soft; weak; flabby; limp; dull (trade).; flaccid
slavin	(female) slave.
slawe	vide slaaf, (ge-).
slawerny	slavery, bondage, servitude.
slee	sledge; sleigh (for persons only); sled (for goods only); carriage.
sleep	n. drag, tow; train.; drag, pull, draw, haul, lug; tow, tug.
sleepboot	tug.
sleepsel	trail.
sleeptong	- praat, lisp.
sleeptou	tow-rope.
sleepvoetend	shufHing, lagging.
Sleeswyk	Schleswig, Sleswick.
sleg	a. bad; evil; poor; rotten.; adv., badly, ill; poorly.; level, raze, demolish.
slegs	only, merely, but.
slegte spysvertering	dyspepsia
slenter	saunter, stroll; slouch.
slenterslag	trick, dodge, roguery.
slet	slut, strumpet.
sleur	groove, rut, routine.; vide sloer, (ge-).
sleurwerk	routine-work, grind.
sleutel	key; spanner.
sleutelbeen	collar-bone.
slib	silt, ooze, slime, mire.
slik	vide slib & slyk.
slim	smart, clever; crafty, cunning.; astute
slimmerd	cunning fox, sly dog.
slimpraatjies	clap-trap, glib talk.
slinger	pendulum; sling; (starting-)handle, crank.; swing, oscillate; sway, reel, lurch, roll; wind; hurl, fling, slingerplant, creeper, climbing plant.
slinks	underhand, surreptitious.
slip	tail, flap (of a coat); slit; tip.
slipdraer	pall-bearer.
sloep	sloop, dinghy, longboat.
sloer	drag (on), dawdle, keep postponing (putting off); linger.
sloerie	slut, drab.
slof	shuffle, shamble.
slonserig	slovenly, slatternly.
sloof	drudge, toil, slave.
sloop	n. pillow-case, pillow-slip.; level, demolish (a building); dismantle (a fort); break up; undermine; drain, sap (one's strength).
sloot	furrow, trench, ditch.
slordig	untidy, slovenly, dowdy; careless; shoddy.
slot	end, conclusion; peroration; (pl. -te); lock (of door, gun); clasp (of book); castle.
slotsom	conclusion.
Slowakye	Slovakia.
slowe	vide sloof, (ge-).
slu	cunning, crafty, wily.; astute
sluier	n. veil; fog.
sluiks	ter -, on the sly, stealthily.
sluimer	n. slumber.; slumber, doze.
sluip	slink, sneak, steal; prowl.
sluipmoord	assassination.
sluis	sluice; lock.
sluit	close; lock; close down; conclude (treaty); effect (insurance); make, (peace); end, conclude (letter, speech).
sluitboom	boom, barrier.
sluk	n. swallow, gulp, mouthful, pull, draught.; swallow; put up with, endure.
slukderm	gullet, oesophagus.
slurp	gulp, guzzle.
slyk	mire, slime, mud; silt.
slym	phlegm, mucus, slime.
slymerig	slimy, mucous.
slymvlies	mucous membrane.
slyp	sharpen, whet, grind; cut, polish (diamonds).
slypplank	knife-board.
slypsteen	grindstone, whetstone.
slyt	wear out; pass, spend (one's days).
slytasie	wear (and tear), wastage.
smaad	n. contumely, abuse, insult.; malign, revile, deride.
smaak	n. taste, flavour, liking.; taste; enjoy; appear, seem.
smaaklik	palatable, delicious, enjoyable.
smaakvol	tasteful, in good taste.
smaal	sneer.
smadelik	derisive, scornful.
smag	languish, pine; yearn (for).
smak	thud, crash; smack (of the lips).
smal	narrow.
smarag	emerald.
smart	n. grief, sorrow, affiiction, pain.
smartlik	painful.
smee	forge, hammer, weld; invent (a lie); plan (conspiracy); coin.
smeek	implore, beseech, beg.
smeer	n. grease; smear, stain.; grease, lubricate; butter; rub, massage.
smeerlap	grease-rag; ragamuffin, dirty fellow, blackguard, swine, cad, skunk.
smelt	melt, liquefy; fuse (wire); melt down, render (fat); smelt (ore); merge, fuse.
smeltdraad	fuse(-wire).
smeltkroes	crucible, melting-pot.
smerig	dirty, filthy, messy.
smet	stain, blot, blemish, taint.
smeul	smoulder, glow.
smeulstofie	slow combustion stove.
smid	smit, (-te), (black-)smith.
smiddags	in the (of an) afternoon; at noon, midday.
smoel	mug, face.
smokkel	smuggle.
smoor	smother, choke, throttle; stifle (sound); hush up (scandal); braise, stew.; choke; suffocate
smoordronk	dead drunk.
smoorklep	choke, throttle-valve.
smoorverlief	deeply in love.
smôrens	in the (of a) morning.
smous	n. pedlar, hawker.; hawk.
smul	feast, regale oneself.
smyt	fling, hurl, cast, pitch.
snaaks	funny, comical, droll, queer, strange.
snaar	n. string; lover, beloved.; string (a racket, etc.) snags, in the (of a) night.
snak	gasp (for breath); yearn.
snap	catch; understand; babble.
snaps	tot, spot, drop, drink.
snars	geen -, not a rap, not a hang.
snater	n. mug, jaw.; chatter, jabber.
snawel	bill, beak.
snedig	quick, smart, witty.
snee	edge; caesura (in verse).
sneespapier	India-paper, tissue-paper.
sneeu	n. snow.; snow.
sneeubal	snowball
snel	a. & adv. fast, swift(ly), quick(ly), rapid(ly), speedy (speedily).; hurry, hasten, rush.
sneller	(1) trigger.; (2) sprinter; three-quarter.
snelskrif	shorthand, stenography.
sneltrein	express (train), fast train.
snerpend	biting, piercing (wind, cold); burning (pain).
snert	pea-soup; rot, rubbish, trash.
sneuwel	fall, be killed (in action).
snik	n. sob, gasp.; sob.
snikheet	snikkendheet, swelteringly hot.
snip	snipe; perky (saucy) thing.
snipper	snip, cut up.
snipperig	perky, saucy.
snippermandjie	waste-paper basket.
snit	cut (of a garment); edge (of knife).
snoei	prune (fruit-trees); trim, clip, lop; cut (expenses).
snoek	" ""snoek"", pike (European)."
snoep	a. greedy, grasping, having.; sneak, pinch, eat furtively; refuse to give.
snoepkroeg	snack bar.
snoer	n. line, string, lace.; tie, string (up).
snoesig	dainty, ducky, sweet.
snoet	snout (of pig), muzzle, nose (of cat); mug, jaw.
snood	evil (plans), base (ingratitude), heinous (crime).
snor	moustache.; drone; purr; whizz.
snorbaardjie	moustache; whiskers.
snork	snore; snort (of horse).
snot	snot, mucus (of the nose).
snou	n. snarl.; snarl (out), snap (out).
snuf	smell.
snuffel	sniff, nose; ferret, pry, rummage.
snuif	n. snuff.; take snuff; sniff.
snuistery	knick-knack, gimcrack.
snuit	n. snout (of pig), proboscis (of insect).; blow one's nose; snuff.
snuiter	snuffers; kid, milksop.
snuiwe	vide snuif, (ge-).
sny	n. cut, gash, notch, slice.; cut; geld; sprint.
snyer	tailor; cutter, carver.
snysels	dough-threads.
so	so, thus.
so-ewe	just now, a moment ago.
so-so	so-so, after a fashion.
sober	frugal; sober.
sodanig	such, such like; in such a way.
sodat	so that.
sodoende	in this (that) way, thus; so.
sodra	as soon as.
soe!	ugh!, brr!, phew!
soebat	beg, implore, entreat.
Soedan	Sudan.
soek	look for (a pen, trouble), look (out) for (a job, a wife), look up (a word), seek (help), hunt for (a house), search.
soeklig	search-light, spot-light.
soektog	search
soel	(1) mild, soft; close, sultry.; (2) sallow (of human complexion).
soen	n. kiss.; kiss.
soep	soup.
soepee	supper.
soepel	supple, pliant, lithe.
soet	sweet.
soetjies	suutjies, softly, gently, quietly.
soetsappig	namby-pamby, sloppy, goodygoody, mealy-mouthed.
soetvloeiend	fluent, melodious.
soewerein	a. sovereign.
sofa	sofa.
sog	sow.; wake (of a ship).
sogenaamd	a. so-called.; adv. ostensibly, professedly.
soggens	in the (of a) morning.
sok	socket, sleeve; vide sokkie.
sokker	association-football, soccer.
sokkie	sock.
Sokrates	Socrates
solangs	(along) this (that) way.
solank	for the time being, so long.
soldaat	soldier.
soldeer	solder.
solder	loft; ceiling.
soldy	pay.
solied	solid, substantial; respectable; solvent.
sollisiteer	apply.
solo	solo.
som	sum.
somaar	vide sommer(so).
somber	sombre, gloomy.
somer	summer.
somers	summer-...
sommer	for no particular reason; just, merely; without further ado, straight off; immediately.
sommerso	simply, just (as it was); after a fashion, so-so, in an off-hand way.
sommige	some.
soms	sometimes, at times, now and then.; sometimes
somtyds	= soms.
son	sun.
sonate	sonata.
sonbesie	cicada.
sondaar	sinner; offender.
Sondag	Sunday.
sonde	sin; trouble.
sondebok	scapegoat.
sonder	without.
sonderling	queer, odd, peculiar.
sondig	a. sinful.; sin; offend.
sondvloed	deluge.
sone	zone.
sonneblom	sunflower, helianthus.
sonnet	sonnet.
sonnewyser	sun-dial; gnomon.
sonnig	sunny.
sononder	n., sunset; adv., at sunset.
sonop	n. sunrise.
sonsondergang	sunset.
sonsteek	sunstroke.
soog	suckle, nurse, nourish.
soogdier	mammal.
sooi	sod.
sooibrand	heartburn.
sool	sole.
soom	hem; edge, border, fringe.; hem; border.
soontoe	thither, there.
soort	kind, sort, species, variety.
soortgelyk	of the same (that) kind, similar.
soortlik	specific.
soos	as, like, such as; just as.
sop	sap, juice. Vide soep.
Sophocles	Sophocles.
sopie	drink, tot.
sopperig	juicy; sloppy.
sopraan	soprano, treble.
sôre	(ge-), mind, see.
sorg	n., care; trouble, worry; anxiety, concern, solicitude; charge.
sorgbarend	alarming.
sorge	vide sore.
sorgsaam	careful, attentive.
sorgvuldig	careful, thorough.
sorgwekkend	alarming, causing anxiety.
sorteer	sort, assort; grade.
sosatie	sosatie (sassate).
soseer	so much, to such an extent.
sosiaal	social.
sosialis	socialist.
sosioloog	sociologist.
sosys	sausage, polony.
sot	n. fool.; a. mad, crazy, sotterny, (-e), foolishness; tomfoolery.
sou	vide sal.
sous	n. gravy; sauce, relish.; sauce; rain, pour, drizzle.
sousboontjies	bean-salad, salad-beans.
souskom	gravy-boat, sauce-boat.
sout	n. salt.; a. salt, briny.; salt; initiate.
soutpotjie	salt-cellar.
Soutsee	Dead Sea.
soutsuur	hydrochloric acid.
soveel	so much, so many.
soveelste	umpteenth.
sover	so far, thus far, as far as.
sowaar	actually, to be sure, as sure as fate.
sowat	about, more or less, roughly.
sowel	- as, as well as.
Sowjet	Soviet.
soölogie	zoology.
soöloog	zoologist.
spaan	scoop, ladle, skimmer; (roof) shingle; (for rowing) oar.
spaander	n. chip, splinter.; scoot, skedaddle.
spaar	save, put by, reserve, husband; spare (one's life, costs trouble).
spaarsaam	thrifty, economical.
spalk	n. splint.; set (fractured leg), splint, stretch (hides).
span	n. team; gang; span (of oxen; of the hand).; stretch (rope); strain (eyes, muscles, attention); draw, bend (a bow); hobble (a horse), strap (a cow).
spandabel	extravagant, wasteful.
spandeer	spend.
Spanjaard	Spaniard.
Spanje	Spain.
spannend	tight, tense; exciting, thrilling.
spanning	tension, strain, pressure; voltage; span (of bridge); suspense, excitement.
spansaag	bow-, frame-saw.
spanspek	musk-melon.
spantou	milking-strap, kneestrap.
spar	rafter (of roof); spruce-fir.
Spartaan	Spartan.
spartel	flounder, sprawl; struggle.
spasie	space, room, opening.
spasieer	space.
spat	n. splash, spatter, stain, spot.; splash, splutter, spatter; take to one's heels.
spataar	varicose vein.
spatsel	splash, spatter.
speek	spoke.
speeksel	spittle, saliva.
speel	play; act; chime; gamble.
speel-speel	playing; easily.
speelbal	playing ball; sport, plaything, puppet.
speels	playful.
speelsiek	playful, frolicsome.
speelstang	joystick
speen	n. nipple, teat.; wean.
speenvark	sucking-pig.
speer	" spear; javelin, spek, bacon, ""spek""; blubber (of whale)."
spekboom	spekboom, elephant's food.
spekskiet	fib.
spektakel	scene, uproar, rumpus.
spekulant	speculator.
spekuleer	speculate.
spekvet	as plumb as a partridge, fatted; in good health, looking well.
spel	n. game; play, performance; playing; recreation.; spell.
speld	pin.; (ge-), pin, fasten.
spelenderwys	speelsgewyse, playing, playfully, in play; jocularly.
speler	player; gambler; musician; actor; performer.
spelerig	playful, frolicsome.
speletjie	game; fun.
speling	play, allowance, scope.; allowance
spelle	vide spel.
spelletjie	game.
spelling	spelling.
spelonk	cave, cavern.
spens	pantry.
sper	bar, block; distend.
spervuur	barrage.
spesery	spice.
spesiaal	special; (adv.) specially.
spesialiseer	specialise.
spesialiteit	special(i) ty; specialist.
spesifiek	specific
spesifiseer	specify.
speur	notice, discover, detect; trail, track.
speurder	detective.
spie	vide spy.
spieël	n. looking-glass, mirror; level (of the sea).; mirror, reflect.
spieëlbeeld	image; illusion.
spieëlglad	as smooth as a mirror.
spieëlglas	plate-glass.
spieëltafel	dressing-table.
spier	muscle.
spierwit	snow-white, pure white.
spies	spear, javelin, pike, lance.
spiets	speech; joke.
spikkel	n. spot, speck, speckle.; speckle.
spil	pivot, axle; halfback.
spin	spin; purr (of a cat).
spinasie	spinach.
spinnekop	spider.
spinnerak	cobweb; gossamer.
spioen	n. spy, scout.; spy, scout.
spioenasie	espionage.
spioeneer	spy; scout.
spiraal	spiral, coil, helix.
spiritisme	spiritism, spiritualism.
spiritualisme	spiritualism.
spiritus	spirit(s).
spit	n. spit; spadeful; crick, lumbago.; dig.
spits	n. point, head; peak, summit, spire, pinnacle; van, forefront.; a. pointed, sharp.; point.
spitsroei	run the gauntlet.
spitsvondig	subtle, ingenious, far-fetched, quibbling.
spleet	crack, fissure, crevice.
splinter	n. splinter, shiver, sliver, chip.; splinter, shiver.
splinternuut	brand new.
splits	split (up), cleave; splice.
splyt	split, cleave.
spoed	n. haste, speed.; speed, hasten, hurry.; rate (n)
spoedeisend	urgent.
spoedig	a. quick, speedy, early.; adv. soon, quickly, speedily.
spoeg	n. spittle, spit, saliva.; spit, expectorate.
spoel	n. shuttle, spool, bobbin.; flow, wash, rinse.
spoetnik	sputnik.
spog	boast, brag, swank, show off.
spoggerig	boastful, bragging; showy; swanky.
sponning	groove, rabbet, slot.
spons	n. sponge; bung.; sponge.
sponssiekte	black quarter, quarter evil.
spontaan	spontaneous.
spook	n., ghost, spectre; fright, freak.; haunt, be haunted; struggle, fight.
spoor	n. (1) trace, track, trail, footmark, footprint; railway (line), rails, track; mark, sign, trace, vestige, indication; rut, track (of wagon).; n. (2) spur.
spoorlyn	railway line.
spoorslag	incentive, spur, urge.
spoorweg	railway.
sporadies	sporadic(al).
sport	(1), rung.; (2) sport.
sportbyeenkoms	sports(-meeting).
sportief	sporting.
spot	n. scorn, ridicule, mockery, banter.; mock, scoff, jeer; jest, joke.
spotdig	satire, satirical poem.
spotgoedkoop	dirt-cheap.
spottenderwys	mockingly, jeeringly.
spotterny	mockery; derision.
spotvoël	mocker, teaser.
spraak	speech.
spraakkuns	grammar.
spraaksaam	talkative, loquacious, garrulous, chatty, chattering.
sprake	talk, mention.
sprankel	sparkle, scintillate.
sprankie	spark.
spreek	speak.
spreekbuis	speaking-tube; mouthpiece.
spreekkamer	consulting-room.; consulting room
spreekwoord	proverb, adage.
spreekwyse	manner of speaking (speech); idiom, expression.
spreeu	starling.
sprei	n. quilt, counterpane, coverlet.; spread.
sprekend	speaking; telling, striking.
spreuk	motto, maxim, adage, proverb.
spriet	blade (of grass); feeler, antenna.
spring	n. jump, leap, bound.; jump, leap, spring, bound; hop, skip, caper; snap, crack, burst.
springhaas	jumping-hare.
springlewendig	brisk, alive and kicking.
springmielies	pop-corn.
springstof	explosive.
sprinkaan	locust, grasshopper
sprinkel	sprinkle; damp.
sproei	spru, n. thrush, sprue.; sprinkle, water; spray.
sproet	freckle.
sprokie	fairy-tale; fable, fiction.
sprong	jump, leap, bound; caper, gambol, hop.
spruit	n. shoot, sprout; offshoot, off-spring; tributary, small stream.; shoot, sprout; issue, descend (from).
spruitkool	(Brussels) sprouts.
spuigat	scupper hole.
spuit	n. syringe, squirt; (water-)hose.; spout, squirt; spray.
spuug	vide spoeg.
spy	pin, wedge, cotter.
spyker	nail.
spys	n. food.
spyskaart	menu, bill of fare.
spyt	n. regret, sorrow.; regret, be sorry.
spytig	regrettable.
st!	hist!, hush!
staaf	n. bar, rod; ingot.; confirm, prove.
staak	stop, knock off.
staal	steel.; steel (the nerves).
staaltjie	sample; instance; yarn.
staan	(ge-), stand.
staan-staan	standing (stopping) every now and then, while standing.
staande	standing; permanent.
staander	standard.
staanspoor	uit die -, from the (very) start (beginning).
staat	n. state; condition; rank, position; statement, record, list, form.; vide staan.
staatkunde	(ordinary) politics; (far-seeing) statesmanship.
staatmaker	man on whom one can depend, prop, mainstay.
staatsgreep	coup d'etat
staatsie	state, ceremony, pomp; procession.
staatskoerant	government gazette.
staatsman	statesman, politician.
staatsreg	constitutional law.
staatsweë	van -, by (on behalf of) the government; on authority (of the goverment).
stabiel	stable, steady, firm.
stabiliseer	stabilize.
stad	city, town.
stade	te - kom, stand in good stead, be of good use, come in handy.
stadhuis	hall, city hall.
stadig	slow, lingering.
stadion	stadium.
stadium	stage, phase, period; stadium (length).
stadsraad	town council, city council.
staf	staff (support, sign of office or authority; body (of officers, nurses, etc.); mace (in Parliament); (marshal's) baton; (bishop's) crozier.
staker	striker.
staking	cessation, stoppage (of activities); strike (of workmen); tie (of votes); suspension (of payment).
stal	n. stable (for horses), cowshed (for cattle).
stalles	stalls (in theatre).
stalletjie	stall, booth; small stable.
stam	n, stem (of tree, plant), trunk (of tree); tribe, clan (of people), stock, race; stem (of word).; form stems (a stem); - van, descend, from.
stamboom	genealogical tree, pedigree.
stamel	stammer (out), falter.
stamp	n. knock, blow; bruise; stamp (of foot); stamping.; knock, pound, hit, give a blow; stamp; pound, crush; bruise; bump, jolt; thud.
stamper	pounder, stamper; jumper(-drill); stamp; pestle; rammer; pistil (of flower).
stampvoet	stamp one's feet (in anger); (of horses) paw the ground.
stampvol	crammed, packed, crowded.
stamverwant	akin, cognate, related.
stamverwantskap	affinity, kinship, relationship, community of race.
stand	position, posture, (of the body); state, condition, situation, degree, rank, standing, station (in life); class, circle, caste, order; position, level, height (of barometer).
standaard	standard.
standbeeld	statue.
stander	stand (for hats, umbrellas); cruetstand; post, upright.
standerd	standard, class.
standhoudend	lasting, permanent.
standjie	tiff, quarrel, row.
standpunt	standpoint, point of view.
standvastig	steadfast, resolute, firm, constant.
stang	bit (of a bridle); rod, bar.
stank	stench, stink.
stansa	stanza.
stap	n, step, pace, stride; footstep.; walk, go on foot; hike.
stapel	n. pile, stack, heap; stocks (shipbuilding); stock (of cattle), stapel, stawel, (ge-), stack, pile up, heap up; build.
stapelgek	raving mad.
star	stiff, fixed.
staroog	stare (gaze) fixedly.
stasie	station.
stasioneer	station.
stat	Bantu village (kraal).
staties	static.
statig	stately, solemn, dignified.
statistiek	(science of) statistics; (pl. -e), statistics, returns, figures.
status	status, position.
statuut	statute, ordinance, regulation, articles (of association).
stawe	vide staaf, (ge-).; vide stapel, (ge-).
stawing	confirmation, proof, support.
stede	stead, place.
stedelik	municipal, urban, civic.
stedeling	townsman, town dweller.
stee	vide stede.
steeds	a. urban, town-...; adv., always, ever, constantly, still.
steeg	alley, lane.
steek	n. stitch; sting (from bee); stab, thrust (with dagger); dig, poke, prod (with finger); dig, thrust (pointed remark).; prick, stab, jab (with a knife),  thrust (with a sword); (insect) sting; (wound) burn, smart; (sun) burn, scorch; (pain) shoot, twitch.
steekhoudend	valid, sound.
steeks	jibbing.
steekvlieg	gadfly.
steel	n. handle (of tool); stem, stalk of flower); stem (of pipe); shaft (of spear).; steal.
steelkant	blind side.
steels	stealthy, furtive.
steen	brick; stone, rock.
steenbok	steenbok (steenbuck).
Steenbokskeerkring	tropic of Capricorn.
steenkool	-kole, coal.
steg	n. stile.; make slips (cuttings).
steggie	cutting, slip.
steier	n. scaffolding, staging.; rear (of horse); stagger.
steierplank	scaffolding-board.
steil	steep, bluff; straight (hair).
steilte	steepness; incline, declivity.
stekelagtig	prickly; (fig.) stinging.
stekeling	sharp, stinging, acrimonious; prickly, stekelvark, porcupine.
stel	n. set; lot, bunch; under-carriage; suite (of rooms).; put, place; adjust, regulate, direct; fix; draw up, compose.
stelkunde	algebra.
stellasie	scaffolding, stand, structure, frame-work; (fruit-) tray.
stellig	a. positive (assertion), definite (promise), firm, fixed, certain.; adv. positively, definitely.
